 time            v(nodeA)        time            v(nodeB)       
 6.62800000e-05  2.02257994e+00  6.62800000e-05  1.01128997e+00 
 6.72800000e-05  2.05127066e+00  6.72800000e-05  1.02563533e+00 
 6.82800000e-05  2.07988040e+00  6.82800000e-05  1.03994020e+00 
 6.92800000e-05  2.10840804e+00  6.92800000e-05  1.05420402e+00 
 7.02800000e-05  2.13685243e+00  7.02800000e-05  1.06842622e+00 
 7.12800000e-05  2.16521247e+00  7.12800000e-05  1.08260624e+00 
 7.22800000e-05  2.19348703e+00  7.22800000e-05  1.09674351e+00 
 7.32800000e-05  2.22167499e+00  7.32800000e-05  1.11083750e+00 
 7.42800000e-05  2.24977525e+00  7.42800000e-05  1.12488762e+00 
 7.52800000e-05  2.27778668e+00  7.52800000e-05  1.13889334e+00 
 7.62800000e-05  2.30570820e+00  7.62800000e-05  1.15285410e+00 
 7.72800000e-05  2.33353869e+00  7.72800000e-05  1.16676934e+00 
 7.82800000e-05  2.36127705e+00  7.82800000e-05  1.18063853e+00 
 7.92800000e-05  2.38892220e+00  7.92800000e-05  1.19446110e+00 
 8.02800000e-05  2.41647303e+00  8.02800000e-05  1.20823652e+00 
 8.12800000e-05  2.44392847e+00  8.12800000e-05  1.22196424e+00 
 8.22800000e-05  2.47128743e+00  8.22800000e-05  1.23564371e+00 
 8.32800000e-05  2.49854882e+00  8.32800000e-05  1.24927441e+00 
 8.42800000e-05  2.52571157e+00  8.42800000e-05  1.26285579e+00 
 8.52800000e-05  2.55277462e+00  8.52800000e-05  1.27638731e+00 
 8.62800000e-05  2.57973688e+00  8.62800000e-05  1.28986844e+00 
 8.72800000e-05  2.60659730e+00  8.72800000e-05  1.30329865e+00 
 8.82800000e-05  2.63335482e+00  8.82800000e-05  1.31667741e+00 
 8.92800000e-05  2.66000838e+00  8.92800000e-05  1.33000419e+00 
 9.02800000e-05  2.68655692e+00  9.02800000e-05  1.34327846e+00 
 9.12800000e-05  2.71299940e+00  9.12800000e-05  1.35649970e+00 
 9.22800000e-05  2.73933478e+00  9.22800000e-05  1.36966739e+00 
 9.32800000e-05  2.76556202e+00  9.32800000e-05  1.38278101e+00 
 9.42800000e-05  2.79168007e+00  9.42800000e-05  1.39584004e+00 
 9.52800000e-05  2.81768792e+00  9.52800000e-05  1.40884396e+00 
 9.62800000e-05  2.84358452e+00  9.62800000e-05  1.42179226e+00 
 9.72800000e-05  2.86936887e+00  9.72800000e-05  1.43468444e+00 
 9.82800000e-05  2.89503994e+00  9.82800000e-05  1.44751997e+00 
 9.92800000e-05  2.92059672e+00  9.92800000e-05  1.46029836e+00 
 1.00280000e-04  2.94603819e+00  1.00280000e-04  1.47301910e+00 
 1.01280000e-04  2.97136337e+00  1.01280000e-04  1.48568168e+00 
 1.02280000e-04  2.99657124e+00  1.02280000e-04  1.49828562e+00 
 1.03280000e-04  3.02166081e+00  1.03280000e-04  1.51083040e+00 
 1.04280000e-04  3.04663109e+00  1.04280000e-04  1.52331554e+00 
 1.05280000e-04  3.07148109e+00  1.05280000e-04  1.53574054e+00 
 1.06280000e-04  3.09620984e+00  1.06280000e-04  1.54810492e+00 
 1.07280000e-04  3.12081635e+00  1.07280000e-04  1.56040817e+00 
 1.08280000e-04  3.14529966e+00  1.08280000e-04  1.57264983e+00 
 1.09280000e-04  3.16965880e+00  1.09280000e-04  1.58482940e+00 
 1.10280000e-04  3.19389280e+00  1.10280000e-04  1.59694640e+00 
 1.11280000e-04  3.21800072e+00  1.11280000e-04  1.60900036e+00 
 1.12280000e-04  3.24198159e+00  1.12280000e-04  1.62099080e+00 
 1.13280000e-04  3.26583448e+00  1.13280000e-04  1.63291724e+00 
 1.14280000e-04  3.28955844e+00  1.14280000e-04  1.64477922e+00 
 1.15280000e-04  3.31315253e+00  1.15280000e-04  1.65657626e+00 
 1.16280000e-04  3.33661582e+00  1.16280000e-04  1.66830791e+00 
 1.17280000e-04  3.35994739e+00  1.17280000e-04  1.67997370e+00 
 1.18280000e-04  3.38314632e+00  1.18280000e-04  1.69157316e+00 
 1.19280000e-04  3.40621168e+00  1.19280000e-04  1.70310584e+00 
 1.20280000e-04  3.42914257e+00  1.20280000e-04  1.71457129e+00 
 1.21280000e-04  3.45193809e+00  1.21280000e-04  1.72596904e+00 
 1.22280000e-04  3.47459733e+00  1.22280000e-04  1.73729866e+00 
 1.23280000e-04  3.49711940e+00  1.23280000e-04  1.74855970e+00 
